Engine,Concurrency,Number of keys, Key Size, Value Size,Write/s,Reads/s,Size,Time (sec)
pogreb,1,100000,16~64,128~512,144987,570216,37.83MB,0.865
goleveldb,1,100000,16~64,128~512,243686,216693,35.62MB,0.872
bbolt,1,100000,16~64,128~512,39482,657232,64.05MB,2.685
badger,1,100000,16~64,128~512,132556,330658,2.14GB,1.057
bitcask,1,100000,16~64,128~512,133092,617992,42.71MB,0.913
archivedb,1,100000,16~64,128~512,1806562,1067870,1.00GB,0.149
flashdb,1,100000,16~64,128~512,208289,809979,36.65MB,0.604
buntdb,1,100000,16~64,128~512,235187,813826,37.04MB,0.548
godb,1,100000,16~64,128~512,870901,1036521,128.00MB,0.211
pogreb,10,100000,16~64,128~512,107169,604957,75.71MB,1.098
goleveldb,10,100000,16~64,128~512,235573,511159,71.27MB,0.620
bbolt,10,100000,16~64,128~512,28523,723040,112.09MB,3.644
badger,10,100000,16~64,128~512,185439,580140,2.15GB,0.712
bitcask,10,100000,16~64,128~512,76916,982502,85.40MB,1.402
archivedb,10,100000,16~64,128~512,1110042,4097381,1.00GB,0.114
flashdb,10,100000,16~64,128~512,192723,1379753,73.27MB,0.591
buntdb,10,100000,16~64,128~512,215147,2294183,74.02MB,0.508
godb,10,100000,16~64,128~512,638700,2226617,128.00MB,0.201
